dataset,model,best_k,best_em,em_k1,em_k3,em_k5,baseline
nq,SmolLM2-360M,1,0.0167,0.0167,0.0167,0.0067,0.01
nq,Qwen3-0.6B,3,0.1133,0.1033,0.1133,0.1033,0.0267
nq,Gemma-2-2B,3,0.0667,0.0633,0.0667,0.0567,0.1067
nq,Qwen3-1.7B,3,0.13,0.0967,0.13,0.1167,0.05
nq,Llama-3.2-1B,5,0.13,0.09,0.1233,0.13,0.04
nq,Phi-3.5-mini,5,0.1467,0.1233,0.1233,0.1467,0.0667
triviaqa,SmolLM2-360M,3,0.0467,0.0367,0.0467,0.0333,0.0233
triviaqa,Qwen3-0.6B,5,0.3833,0.3133,0.36,0.3833,0.0833
triviaqa,Gemma-2-2B,5,0.19,0.1633,0.1667,0.19,0.2067
triviaqa,Qwen3-1.7B,5,0.4967,0.38,0.46,0.4967,0.1733
triviaqa,Llama-3.2-1B,5,0.4167,0.3167,0.3933,0.4167,0.15
triviaqa,Phi-3.5-mini,5,0.54,0.4467,0.5233,0.54,0.31
hotpotqa,SmolLM2-360M,1,0.03,0.03,0.02,0.0267,0.0067
hotpotqa,Qwen3-0.6B,3,0.2067,0.1667,0.2067,0.1933,0.0533
hotpotqa,Gemma-2-2B,5,0.1533,0.12,0.14,0.1533,0.0533
hotpotqa,Qwen3-1.7B,5,0.3033,0.2533,0.29,0.3033,0.0433
hotpotqa,Llama-3.2-1B,3,0.1867,0.13,0.1867,0.1867,0.0167
hotpotqa,Phi-3.5-mini,3,0.2767,0.2233,0.2767,0.27,0.0733
