dataset,chunk_size,retriever,recall_at_1,recall_at_3,recall_at_5,short_answer_frac,n_samples
nq,128,bm25,0.1533,0.2433,0.2833,0.0233,300
nq,128,faiss,0.2033,0.3167,0.3567,0.0233,300
nq,256,bm25,0.2067,0.3233,0.3833,0.0233,300
nq,256,faiss,0.2633,0.3967,0.4367,0.0233,300
nq,512,bm25,0.2733,0.41,0.46,0.0233,300
nq,512,faiss,0.3067,0.4333,0.4867,0.0233,300
triviaqa,128,bm25,0.3,0.49,0.5733,0.0033,300
triviaqa,128,faiss,0.5167,0.7033,0.77,0.0033,300
triviaqa,256,bm25,0.3967,0.5933,0.6767,0.0033,300
triviaqa,256,faiss,0.5633,0.7633,0.8333,0.0033,300
triviaqa,512,bm25,0.5133,0.6967,0.7533,0.0033,300
triviaqa,512,faiss,0.6067,0.8133,0.8867,0.0033,300
hotpotqa,128,bm25,0.3167,0.57,0.6733,0.09,300
hotpotqa,128,faiss,0.31,0.5333,0.6333,0.09,300
hotpotqa,256,bm25,0.4533,0.73,0.8467,0.09,300
hotpotqa,256,faiss,0.4267,0.7067,0.7733,0.09,300
hotpotqa,512,bm25,0.5933,0.9,0.92,0.09,300
hotpotqa,512,faiss,0.5133,0.74,0.8,0.09,300
