dataset,model,chunk_size,retriever,recall_at_3,em,distraction_gap
hotpotqa,Gemma-2-2B,128,bm25,0.57,0.1433,0.4267
hotpotqa,Gemma-2-2B,128,faiss,0.5333,0.1133,0.42
hotpotqa,Gemma-2-2B,256,bm25,0.73,0.1667,0.5633
hotpotqa,Gemma-2-2B,256,faiss,0.7067,0.14,0.5667
hotpotqa,Gemma-2-2B,512,bm25,0.9,0.1567,0.7433
hotpotqa,Gemma-2-2B,512,faiss,0.74,0.13,0.61
hotpotqa,Llama-3.2-1B,128,bm25,0.57,0.1433,0.4267
hotpotqa,Llama-3.2-1B,128,faiss,0.5333,0.1467,0.3866
hotpotqa,Llama-3.2-1B,256,bm25,0.73,0.19,0.54
hotpotqa,Llama-3.2-1B,256,faiss,0.7067,0.1867,0.52
hotpotqa,Llama-3.2-1B,512,bm25,0.9,0.0367,0.8633
hotpotqa,Llama-3.2-1B,512,faiss,0.74,0.0333,0.7067
hotpotqa,Phi-3.5-mini,128,bm25,0.57,0.2667,0.3033
hotpotqa,Phi-3.5-mini,128,faiss,0.5333,0.2367,0.2966
hotpotqa,Phi-3.5-mini,256,bm25,0.73,0.2933,0.4367
hotpotqa,Phi-3.5-mini,256,faiss,0.7067,0.2767,0.43
hotpotqa,Phi-3.5-mini,512,bm25,0.9,0.31,0.59
hotpotqa,Phi-3.5-mini,512,faiss,0.74,0.2833,0.4567
hotpotqa,Qwen3-0.6B,128,bm25,0.57,0.2067,0.3633
hotpotqa,Qwen3-0.6B,128,faiss,0.5333,0.1833,0.35
hotpotqa,Qwen3-0.6B,256,bm25,0.73,0.2267,0.5033
hotpotqa,Qwen3-0.6B,256,faiss,0.7067,0.2067,0.5
hotpotqa,Qwen3-0.6B,512,bm25,0.9,0.2267,0.6733
hotpotqa,Qwen3-0.6B,512,faiss,0.74,0.2067,0.5333
hotpotqa,Qwen3-1.7B,128,bm25,0.57,0.26,0.31
hotpotqa,Qwen3-1.7B,128,faiss,0.5333,0.2367,0.2966
hotpotqa,Qwen3-1.7B,256,bm25,0.73,0.3233,0.4067
hotpotqa,Qwen3-1.7B,256,faiss,0.7067,0.29,0.4167
